id,repo,entity_type,capability_bucket,connection_strength,n_msgs,n_unique_speakers,difficulty
Cucumber_2015-07-24_issue_888,cucumber/cucumber-jvm,issue,,3,17,3,
Cucumber_2015-11-26_pr_7,cucumber/cucumber-jvm-starter-maven-java,pr,,3,8,4,
Cucumber_2016-03-31_pr_980,cucumber/cucumber-jvm,pr,,3,5,3,
Cucumber_2016-04-20_pr_711,cucumber/cucumber-jvm,pr,,3,31,5,
Cucumber_2016-08-13_issue_1045,cucumber/cucumber-jvm,pr,,3,8,2,
Cucumber_2016-08-23_pr_678,cucumber/cucumber-jvm,pr,,3,8,3,
Cucumber_2016-08-24_pr_678,cucumber/cucumber-jvm,pr,,3,9,4,
Freezing_Moon_-_Ancient_Beast_2016-03-05_issue_869,freezingmoon/ancientbeast,issue,,3,8,2,
Freezing_Moon_-_Ancient_Beast_2016-03-05_issue_872,freezingmoon/ancientbeast,issue,,3,22,3,
Freezing_Moon_-_Ancient_Beast_2016-03-09_issue_886,freezingmoon/ancientbeast,issue,,3,42,4,
ImageJ_2015-05-08_issue_119,fiji/fiji,issue,,3,31,2,
ImageJ_2015-06-01_issue_52,imagej/imagej-common,issue,,3,11,2,
ImageJ_2015-08-18_issue_52,scijava/script-editor,issue,,2,8,4,
ImageJ_2015-08-21_pr_178,scijava/scijava-common,pr,,3,8,3,
ImageJ_2015-09-17_issue_213,imagej/imagej-ops,pr,,3,32,2,
ImageJ_2015-09-17_pr_210,imagej/imagej-ops,pr,,2,15,2,
ImageJ_2015-09-17_pr_213,imagej/imagej-ops,pr,,3,31,2,
ImageJ_2015-09-22_issue_119,imagej/imagej-legacy,issue,,3,5,2,
ImageJ_2015-09-23_issue_129,fiji/fiji,issue,,3,28,3,
JSPM_2014-11-30_issue_1606,bower/bower,issue,,3,78,2,
JSPM_2014-11-30_pr_253,moduleloader/es-module-loader,pr,,3,54,2,
JSPM_2015-01-06_issue_358,jspm/jspm,issue,,3,68,3,
JSPM_2015-01-07_issue_17,jspm/github,issue,,3,14,6,
JSPM_2015-01-07_issue_22,jspm/github,issue,,3,48,3,
JSPM_2015-01-09_issue_20,jspm/github,issue,,3,13,3,
JSPM_2015-01-09_issue_380,jspm/jspm,issue,,2,16,3,
JSPM_2015-01-09_issue_6,jspm/github,issue,,3,32,3,
