id,repo,entity_type,capability_bucket,connection_strength,n_msgs,n_unique_speakers,difficulty
Cucumber_2016-05-11_issue_949,cucumber/cucumber-jvm,issue,C4,2,19,2,hard
Freezing_Moon_-_Ancient_Beast_2016-03-05_pr_855,freezingmoon/ancientbeast,pr,C2,3,8,2,easy_loose
ImageJ_2015-08-24_commit_7adeedacdad06f1b595183855416d7a02220e2a1,imagej/imagej-ops,commit,C7,3,36,4,hard
ImageJ_2015-09-01_commit_abb21e0bfd64b92923bc9ae7a8b14a65b3f0fda4,imagej/imagej-common,commit,C7,3,48,3,hard
ImageJ_2015-09-01_commit_f24e7e814ff34481dc1476cd0e450b91da2873e7,imagej/imagej-common,commit,C7,3,51,3,hard
ImageJ_2015-09-17_pr_211,imagej/imagej-ops,pr,C6,2,32,2,easy_strong
ImageJ_2015-09-22_commit_167d606b8ef18e502b8f16a530eccd2c55c5cf12,scijava/scripting-javascript,commit,C7,3,5,2,hard
JSPM_2015-01-07_commit_0e1de56e2041d220e191b27801c13a1d46d5cfc9,jspm/github,commit,C7,3,51,3,hard
JSPM_2015-01-07_commit_11605e1cb80b177eb2f2c89e5f5dfcc231e2da54,jspm/github,commit,C7,3,60,4,hard
JSPM_2015-01-07_commit_958e9d0f96cd9f6120a1381142d72ed40bc4a2b0,jspm/github,commit,C7,3,51,3,hard
JSPM_2015-01-07_pr_17,jspm/jspm.io,pr,C5,3,14,6,easy_loose
JSPM_2015-01-08_issue_360,jspm/jspm,issue,C4,3,19,4,easy_medium
JSPM_2015-01-14_commit_6f49d8237df2e8cdba0a83ae8db6740f43cecd40,jspm/jspm,commit,C7,3,106,3,hard
JTAppleCalendar_2016-07-20_issue_2,patchthecode/jtapplecalendar,issue,C6,2,59,2,easy_loose
JTAppleCalendar_2016-09-25_issue_2,patchthecode/jtapplecalendar,issue,C6,2,19,2,easy_loose
JTAppleCalendar_2017-03-11_issue_216,patchthecode/jtapplecalendar,issue,C6,2,47,2,easy_loose
JTAppleCalendar_2017-04-14_issue_373,patchthecode/jtapplecalendar,issue,C4,2,51,2,easy_loose
JTAppleCalendar_2017-08-01_issue_252,patchthecode/jtapplecalendar,issue,C4,3,17,3,hard
JTAppleCalendar_2017-12-18_issue_581,patchthecode/jtapplecalendar,issue,C2,2,64,2,easy_loose
JTAppleCalendar_2018-01-11_artifact_679,patchthecode/jtapplecalendar,issue,C2,2,10,3,easy_loose
JTAppleCalendar_2018-04-26_issue_767,patchthecode/jtapplecalendar,issue,C2,2,24,2,easy_loose
JTAppleCalendar_2018-12-29_issue_581,patchthecode/jtapplecalendar,issue,C2,2,4,2,easy_loose
Jhipster_2015-05-21_issue_1446,jhipster/generator-jhipster,issue,C5,3,6,3,easy_loose
Jhipster_2015-05-22_issue_1434,jhipster/generator-jhipster,issue,C5,3,7,2,easy_loose
MarionetteJS_2014-03-24_commit_38d03f7d59630d9497b7530fe257d5479716283f,marionettejs/backbone.marionette,commit,C7,2,52,2,hard
MarionetteJS_2014-03-24_commit_b71b7e0679e31889975eeb1e8d78357e8540bdbc,marionettejs/backbone.marionette,commit,C7,2,114,5,hard
MarionetteJS_2014-03-24_issue_1041,marionettejs/backbone.marionette,issue,C2,3,53,2,easy_loose
MarionetteJS_2014-03-25_commit_48eea25bc8e8661cfd3c21ed27c060afd49c6ae9,marionettejs/backbone.marionette,commit,C7,2,27,3,hard
MarionetteJS_2014-03-25_pr_1025,marionettejs/backbone.marionette,pr,C1,3,46,4,easy_loose
